User ID: 580937415016054784, Username: mugistic, Account Age (days): 2099
User ID: 456226577798135808, Username: Deleted User, Account Age (days): 2443
User ID: 985836370327130122, Username: avzure., Account Age (days): 982
User ID: 782326254010761227, Username: poorwills, Account Age (days): 1544
User ID: 394919759394897941, Username: boomboombananas1, Account Age (days): 2613
User ID: 551233791688179762, Username: metaldreamer777, Account Age (days): 2181
User ID: 866695040055377930, Username: w0wwe, Account Age (days): 1311
User ID: 990723156266319944, Username: gaia_seraph, Account Age (days): 969
User ID: 1104081594454659154, Username: Melodie, Account Age (days): 656
User ID: 1102650561846837419, Username: stormxwraith, Account Age (days): 660
User ID: 1300359144292745246, Username: Enima, Account Age (days): 114
User ID: 988593197246734356, Username: dukerockturd, Account Age (days): 974
User ID: 729469417741615194, Username: ameliuugh, Account Age (days): 1689
User ID: 1301356517357781096, Username: Miphyzis, Account Age (days): 111
User ID: 1300356883064029276, Username: Your Mom, Account Age (days): 114
User ID: 572121457467981835, Username: fallofthenight, Account Age (days): 2124
User ID: 1138468274762420305, Username: silentlysondering, Account Age (days): 561
User ID: 431544605209788416, Username: Tupperbox, Account Age (days): 2512
User ID: 723248385313734736, Username: midonlynx, Account Age (days): 1707
User ID: 379031746811002881, Username: fourpointedstar, Account Age (days): 2656
User ID: 235148962103951360, Username: Carl-bot, Account Age (days): 3054
User ID: 561858941332488192, Username: tatertot_5448, Account Age (days): 2152
User ID: 601862734342127662, Username: xxmotherbeanxx, Account Age (days): 2042
User ID: 264094747155496961, Username: poorpuppy, Account Age (days): 2974
User ID: 513423712582762502, Username: TTS Bot, Account Age (days): 2286
User ID: 155149108183695360, Username: Dyno, Account Age (days): 3274
User ID: 1337953100652347515, Username: super fun cool bot, Account Age (days): 10
User ID: 860371050013261856, Username: randomfoxthing, Account Age (days): 1328
User ID: 1063262565431513108, Username: conureia, Account Age (days): 768
User ID: 678239599423913985, Username: pognoblade, Account Age (days): 1831
User ID: 1152657046777376818, Username: fayfirewolf, Account Age (days): 522
User ID: 796294084007559178, Username: poorpuppy1337, Account Age (days): 1505
User ID: 938948107595571240, Username: kittenalmighty, Account Age (days): 1111
